observation_date,NDICLAIMS
2005-01-01,739
2005-01-08,1892
2005-01-15,810
2005-01-22,558
2005-01-29,483
2005-02-05,499
2005-02-12,429
2005-02-19,449
2005-02-26,324
2005-03-05,385
2005-03-12,425
2005-03-19,447
2005-03-26,339
2005-04-02,298
2005-04-09,417
2005-04-16,273
2005-04-23,243
2005-04-30,257
2005-05-07,382
2005-05-14,374
2005-05-21,349
2005-05-28,469
2005-06-04,426
2005-06-11,445
2005-06-18,312
2005-06-25,270
2005-07-02,366
2005-07-09,419
2005-07-16,285
2005-07-23,263
2005-07-30,300
2005-08-06,275
2005-08-13,248
2005-08-20,267
2005-08-27,221
2005-09-03,230
2005-09-10,302
2005-09-17,264
2005-09-24,195
2005-10-01,252
2005-10-08,437
2005-10-15,337
2005-10-22,329
2005-10-29,329
2005-11-05,460
2005-11-12,422
2005-11-19,1012
2005-11-26,729
2005-12-03,1266
2005-12-10,1128
2005-12-17,909
2005-12-24,819
2005-12-31,835
2006-01-07,1607
2006-01-14,861
2006-01-21,589
2006-01-28,549
2006-02-04,479
2006-02-11,507
2006-02-18,452
2006-02-25,377
2006-03-04,382
2006-03-11,379
2006-03-18,398
2006-03-25,471
2006-04-01,286
2006-04-08,462
2006-04-15,245
2006-04-22,400
2006-04-29,217
2006-05-06,316
2006-05-13,307
2006-05-20,290
2006-05-27,593
2006-06-03,442
2006-06-10,345
2006-06-17,300
2006-06-24,230
2006-07-01,303
2006-07-08,539
2006-07-15,415
2006-07-22,322
2006-07-29,297
2006-08-05,301
2006-08-12,226
2006-08-19,416
2006-08-26,282
2006-09-02,278
2006-09-09,1214
2006-09-16,259
2006-09-23,187
2006-09-30,189
2006-10-07,365
2006-10-14,556
2006-10-21,1347
2006-10-28,416
2006-11-04,637
2006-11-11,570
2006-11-18,1462
2006-11-25,1059
2006-12-02,1466
2006-12-09,1077
2006-12-16,820
2006-12-23,921
2006-12-30,992
2007-01-06,853
2007-01-13,1706
2007-01-20,656
2007-01-27,538
2007-02-03,652
2007-02-10,587
2007-02-17,507
2007-02-24,360
2007-03-03,339
2007-03-10,348
2007-03-17,421
2007-03-24,279
2007-03-31,266
2007-04-07,462
2007-04-14,418
2007-04-21,259
2007-04-28,311
2007-05-05,243
2007-05-12,258
2007-05-19,303
2007-05-26,482
2007-06-02,633
2007-06-09,438
2007-06-16,267
2007-06-23,233
2007-06-30,289
2007-07-07,1445
2007-07-14,420
2007-07-21,248
2007-07-28,295
2007-08-04,205
2007-08-11,217
2007-08-18,188
2007-08-25,189
2007-09-01,198
2007-09-08,178
2007-09-15,155
2007-09-22,166
2007-09-29,170
2007-10-06,188
2007-10-13,215
2007-10-20,248
2007-10-27,350
2007-11-03,421
2007-11-10,462
2007-11-17,524
2007-11-24,656
2007-12-01,1272
2007-12-08,1164
2007-12-15,934
2007-12-22,939
2007-12-29,910
2008-01-05,775
2008-01-12,1364
2008-01-19,732
2008-01-26,556
2008-02-02,571
2008-02-09,430
2008-02-16,365
2008-02-23,382
2008-03-01,316
2008-03-08,335
2008-03-15,313
2008-03-22,303
2008-03-29,309
2008-04-05,260
2008-04-12,360
2008-04-19,245
2008-04-26,360
2008-05-03,277
2008-05-10,224
2008-05-17,317
2008-05-24,412
2008-05-31,387
2008-06-07,445
2008-06-14,401
2008-06-21,317
2008-06-28,268
2008-07-05,261
2008-07-12,1093
2008-07-19,357
2008-07-26,388
2008-08-02,434
2008-08-09,316
2008-08-16,262
2008-08-23,240
2008-08-30,941
2008-09-06,308
2008-09-13,204
2008-09-20,968
2008-09-27,215
2008-10-04,216
2008-10-11,299
2008-10-18,320
2008-10-25,344
2008-11-01,431
2008-11-08,616
2008-11-15,945
2008-11-22,941
2008-11-29,2332
2008-12-06,1437
2008-12-13,1194
2008-12-20,1757
2008-12-27,1226
2009-01-03,866
2009-01-10,1887
2009-01-17,1087
2009-01-24,726
2009-01-31,777
2009-02-07,838
2009-02-14,702
2009-02-21,610
2009-02-28,697
2009-03-07,693
2009-03-14,1550
2009-03-21,886
2009-03-28,882
2009-04-04,998
2009-04-11,783
2009-04-18,788
2009-04-25,608
2009-05-02,783
2009-05-09,788
2009-05-16,620
2009-05-23,565
2009-05-30,699
2009-06-06,759
2009-06-13,1325
2009-06-20,628
2009-06-27,503
2009-07-04,456
2009-07-11,1488
2009-07-18,695
2009-07-25,578
2009-08-01,673
2009-08-08,450
2009-08-15,434
2009-08-22,628
2009-08-29,675
2009-09-05,561
2009-09-12,301
2009-09-19,323
2009-09-26,309
2009-10-03,403
2009-10-10,715
2009-10-17,515
2009-10-24,568
2009-10-31,586
2009-11-07,644
2009-11-14,725
2009-11-21,1005
2009-11-28,1066
2009-12-05,1451
2009-12-12,1789
2009-12-19,1369
2009-12-26,1205
2010-01-02,1138
2010-01-09,2175
2010-01-16,1012
2010-01-23,669
2010-01-30,741
2010-02-06,837
2010-02-13,614
2010-02-20,488
2010-02-27,573
2010-03-06,558
2010-03-13,534
2010-03-20,470
2010-03-27,437
2010-04-03,361
2010-04-10,566
2010-04-17,435
2010-04-24,392
2010-05-01,384
2010-05-08,647
2010-05-15,557
2010-05-22,630
2010-05-29,641
2010-06-05,595
2010-06-12,485
2010-06-19,344
2010-06-26,421
2010-07-03,415
2010-07-10,874
2010-07-17,429
2010-07-24,467
2010-07-31,379
2010-08-07,471
2010-08-14,350
2010-08-21,299
2010-08-28,274
2010-09-04,341
2010-09-11,329
2010-09-18,283
2010-09-25,250
2010-10-02,271
2010-10-09,355
2010-10-16,323
2010-10-23,371
2010-10-30,762
2010-11-06,620
2010-11-13,658
2010-11-20,868
2010-11-27,1444
2010-12-04,1477
2010-12-11,1137
2010-12-18,988
2010-12-25,1033
2011-01-01,908
2011-01-08,1793
2011-01-15,1075
2011-01-22,716
2011-01-29,601
2011-02-05,597
2011-02-12,538
2011-02-19,446
2011-02-26,422
2011-03-05,465
2011-03-12,380
2011-03-19,400
2011-03-26,398
2011-04-02,382
2011-04-09,567
2011-04-16,394
2011-04-23,383
2011-04-30,339
2011-05-07,338
2011-05-14,357
2011-05-21,391
2011-05-28,429
2011-06-04,502
2011-06-11,394
2011-06-18,357
2011-06-25,386
2011-07-02,587
2011-07-09,839
2011-07-16,433
2011-07-23,463
2011-07-30,368
2011-08-06,729
2011-08-13,282
2011-08-20,259
2011-08-27,230
2011-09-03,244
2011-09-10,193
2011-09-17,226
2011-09-24,212
2011-10-01,189
2011-10-08,319
2011-10-15,284
2011-10-22,320
2011-10-29,409
2011-11-05,411
2011-11-12,424
2011-11-19,678
2011-11-26,725
2011-12-03,845
2011-12-10,1047
2011-12-17,915
2011-12-24,1096
2011-12-31,913
2012-01-07,1500
2012-01-14,871
2012-01-21,711
2012-01-28,690
2012-02-04,543
2012-02-11,392
2012-02-18,378
2012-02-25,347
2012-03-03,428
2012-03-10,421
2012-03-17,307
2012-03-24,320
2012-03-31,446
2012-04-07,397
2012-04-14,348
2012-04-21,299
2012-04-28,255
2012-05-05,300
2012-05-12,252
2012-05-19,334
2012-05-26,598
2012-06-02,347
2012-06-09,290
2012-06-16,383
2012-06-23,339
2012-06-30,297
2012-07-07,684
2012-07-14,339
2012-07-21,263
2012-07-28,292
2012-08-04,355
2012-08-11,246
2012-08-18,273
2012-08-25,274
2012-09-01,257
2012-09-08,713
2012-09-15,266
2012-09-22,213
2012-09-29,218
2012-10-06,247
2012-10-13,384
2012-10-20,357
2012-10-27,366
2012-11-03,607
2012-11-10,636
2012-11-17,1035
2012-11-24,825
2012-12-01,1006
2012-12-08,1075
2012-12-15,1086
2012-12-22,1330
2012-12-29,1186
2013-01-05,804
2013-01-12,1799
2013-01-19,956
2013-01-26,634
2013-02-02,642
2013-02-09,537
2013-02-16,484
2013-02-23,403
2013-03-02,415
2013-03-09,370
2013-03-16,424
2013-03-23,506
2013-03-30,442
2013-04-06,445
2013-04-13,494
2013-04-20,429
2013-04-27,337
2013-05-04,315
2013-05-11,321
2013-05-18,286
2013-05-25,450
2013-06-01,532
2013-06-08,502
2013-06-15,337
2013-06-22,335
2013-06-29,354
2013-07-06,383
2013-07-13,545
2013-07-20,520
2013-07-27,267
2013-08-03,357
2013-08-10,381
2013-08-17,253
2013-08-24,231
2013-08-31,245
2013-09-07,215
2013-09-14,199
2013-09-21,221
2013-09-28,203
2013-10-05,253
2013-10-12,273
2013-10-19,305
2013-10-26,341
2013-11-02,360
2013-11-09,449
2013-11-16,552
2013-11-23,884
2013-11-30,893
2013-12-07,1590
2013-12-14,1336
2013-12-21,1017
2013-12-28,1084
2014-01-04,1138
2014-01-11,1772
2014-01-18,731
2014-01-25,591
2014-02-01,538
2014-02-08,525
2014-02-15,397
2014-02-22,468
2014-03-01,480
2014-03-08,356
2014-03-15,270
2014-03-22,242
2014-03-29,235
2014-04-05,300
2014-04-12,421
2014-04-19,232
2014-04-26,264
2014-05-03,300
2014-05-10,261
2014-05-17,219
2014-05-24,303
2014-05-31,323
2014-06-07,293
2014-06-14,290
2014-06-21,298
2014-06-28,295
2014-07-05,569
2014-07-12,456
2014-07-19,231
2014-07-26,231
2014-08-02,302
2014-08-09,229
2014-08-16,201
2014-08-23,186
2014-08-30,164
2014-09-06,226
2014-09-13,187
2014-09-20,181
2014-09-27,168
2014-10-04,434
2014-10-11,291
2014-10-18,270
2014-10-25,261
2014-11-01,267
2014-11-08,490
2014-11-15,824
2014-11-22,1024
2014-11-29,1164
2014-12-06,1151
2014-12-13,906
2014-12-20,1063
2014-12-27,1121
2015-01-03,867
2015-01-10,1933
2015-01-17,903
2015-01-24,620
2015-01-31,642
2015-02-07,688
2015-02-14,561
2015-02-21,578
2015-02-28,614
2015-03-07,513
2015-03-14,492
2015-03-21,536
2015-03-28,487
2015-04-04,562
2015-04-11,711
2015-04-18,439
2015-04-25,455
2015-05-02,455
2015-05-09,445
2015-05-16,475
2015-05-23,497
2015-05-30,616
2015-06-06,467
2015-06-13,431
2015-06-20,531
2015-06-27,642
2015-07-04,637
2015-07-11,556
2015-07-18,413
2015-07-25,420
2015-08-01,445
2015-08-08,402
2015-08-15,273
2015-08-22,291
2015-08-29,301
2015-09-05,354
2015-09-12,563
2015-09-19,383
2015-09-26,361
2015-10-03,339
2015-10-10,423
2015-10-17,375
2015-10-24,396
2015-10-31,461
2015-11-07,582
2015-11-14,653
2015-11-21,1088
2015-11-28,1220
2015-12-05,1515
2015-12-12,1477
2015-12-19,1640
2015-12-26,1394
2016-01-02,1165
2016-01-09,2476
2016-01-16,1314
2016-01-23,1046
2016-01-30,907
2016-02-06,997
2016-02-13,768
2016-02-20,989
2016-02-27,719
2016-03-05,775
2016-03-12,623
2016-03-19,633
2016-03-26,459
2016-04-02,673
2016-04-09,619
2016-04-16,461
2016-04-23,511
2016-04-30,631
2016-05-07,640
2016-05-14,495
2016-05-21,481
2016-05-28,585
2016-06-04,619
2016-06-11,482
2016-06-18,438
2016-06-25,444
2016-07-02,475
2016-07-09,984
2016-07-16,479
2016-07-23,361
2016-07-30,340
2016-08-06,402
2016-08-13,322
2016-08-20,815
2016-08-27,314
2016-09-03,296
2016-09-10,327
2016-09-17,372
2016-09-24,234
2016-10-01,393
2016-10-08,458
2016-10-15,351
2016-10-22,409
2016-10-29,497
2016-11-05,566
2016-11-12,646
2016-11-19,1298
2016-11-26,1908
2016-12-03,1857
2016-12-10,1796
2016-12-17,1584
2016-12-24,1161
2016-12-31,992
2017-01-07,2181
2017-01-14,1176
2017-01-21,793
2017-01-28,770
2017-02-04,704
2017-02-11,564
2017-02-18,453
2017-02-25,422
2017-03-04,463
2017-03-11,404
2017-03-18,354
2017-03-25,378
2017-04-01,377
2017-04-08,401
2017-04-15,256
2017-04-22,287
2017-04-29,320
2017-05-06,312
2017-05-13,407
2017-05-20,388
2017-05-27,477
2017-06-03,514
2017-06-10,399
2017-06-17,370
2017-06-24,367
2017-07-01,347
2017-07-08,1049
2017-07-15,394
2017-07-22,298
2017-07-29,284
2017-08-05,333
2017-08-12,285
2017-08-19,354
2017-08-26,325
2017-09-02,334
2017-09-09,288
2017-09-16,221
2017-09-23,247
2017-09-30,268
2017-10-07,367
2017-10-14,292
2017-10-21,292
2017-10-28,349
2017-11-04,599
2017-11-11,756
2017-11-18,958
2017-11-25,920
2017-12-02,1198
2017-12-09,1355
2017-12-16,1213
2017-12-23,1160
2017-12-30,1115
2018-01-06,1035
2018-01-13,1862
2018-01-20,769
2018-01-27,608
2018-02-03,588
2018-02-10,528
2018-02-17,426
2018-02-24,372
2018-03-03,368
2018-03-10,322
2018-03-17,349
2018-03-24,301
2018-03-31,256
2018-04-07,423
2018-04-14,313
2018-04-21,275
2018-04-28,265
2018-05-05,244
2018-05-12,233
2018-05-19,284
2018-05-26,296
2018-06-02,351
2018-06-09,450
2018-06-16,251
2018-06-23,274
2018-06-30,311
2018-07-07,353
2018-07-14,275
2018-07-21,217
2018-07-28,242
2018-08-04,269
2018-08-11,250
2018-08-18,241
2018-08-25,214
2018-09-01,208
2018-09-08,201
2018-09-15,167
2018-09-22,201
2018-09-29,194
2018-10-06,232
2018-10-13,336
2018-10-20,236
2018-10-27,217
2018-11-03,329
2018-11-10,561
2018-11-17,724
2018-11-24,795
2018-12-01,1063
2018-12-08,1046
2018-12-15,957
2018-12-22,992
2018-12-29,855
2019-01-05,964
2019-01-12,1230
2019-01-19,658
2019-01-26,533
2019-02-02,553
2019-02-09,574
2019-02-16,470
2019-02-23,340
2019-03-02,327
2019-03-09,313
2019-03-16,288
2019-03-23,211
2019-03-30,266
2019-04-06,272
2019-04-13,272
2019-04-20,217
2019-04-27,313
2019-05-04,278
2019-05-11,522
2019-05-18,300
2019-05-25,328
2019-06-01,452
2019-06-08,327
2019-06-15,253
2019-06-22,290
2019-06-29,376
2019-07-06,497
2019-07-13,335
2019-07-20,273
2019-07-27,214
2019-08-03,204
2019-08-10,229
2019-08-17,211
2019-08-24,540
2019-08-31,239
2019-09-07,233
2019-09-14,252
2019-09-21,205
2019-09-28,197
2019-10-05,312
2019-10-12,268
2019-10-19,326
2019-10-26,430
2019-11-02,631
2019-11-09,650
2019-11-16,761
2019-11-23,739
2019-11-30,697
2019-12-07,1004
2019-12-14,1128
2019-12-21,1016
2019-12-28,961
