observation_date,SDICLAIMS
2003-05-24,447
2003-05-31,476
2003-06-07,524
2003-06-14,455
2003-06-21,361
2003-06-28,390
2003-07-05,358
2003-07-12,471
2003-07-19,358
2003-07-26,364
2003-08-02,315
2003-08-09,301
2003-08-16,329
2003-08-23,289
2003-08-30,278
2003-09-06,322
2003-09-13,295
2003-09-20,250
2003-09-27,260
2003-10-04,333
2003-10-11,385
2003-10-18,304
2003-10-25,359
2003-11-01,450
2003-11-08,906
2003-11-15,571
2003-11-22,538
2003-11-29,654
2003-12-06,790
2003-12-13,715
2003-12-20,729
2003-12-27,623
2004-01-03,561
2004-01-10,1057
2004-01-17,559
2004-01-24,524
2004-01-31,599
2004-02-07,511
2004-02-14,448
2004-02-21,409
2004-02-28,393
2004-03-06,433
2004-03-13,483
2004-03-20,355
2004-03-27,350
2004-04-03,289
2004-04-10,333
2004-04-17,307
2004-04-24,299
2004-05-01,269
2004-05-08,271
2004-05-15,337
2004-05-22,370
2004-05-29,388
2004-06-05,350
2004-06-12,403
2004-06-19,330
2004-06-26,259
2004-07-03,322
2004-07-10,402
2004-07-17,312
2004-07-24,271
2004-07-31,299
2004-08-07,260
2004-08-14,257
2004-08-21,290
2004-08-28,293
2004-09-04,290
2004-09-11,254
2004-09-18,277
2004-09-25,290
2004-10-02,311
2004-10-09,369
2004-10-16,310
2004-10-23,359
2004-10-30,385
2004-11-06,451
2004-11-13,351
2004-11-20,471
2004-11-27,369
2004-12-04,784
2004-12-11,691
2004-12-18,671
2004-12-25,884
2005-01-01,648
2005-01-08,1116
2005-01-15,732
2005-01-22,475
2005-01-29,424
2005-02-05,421
2005-02-12,366
2005-02-19,320
2005-02-26,274
2005-03-05,395
2005-03-12,383
2005-03-19,340
2005-03-26,284
2005-04-02,299
2005-04-09,443
2005-04-16,282
2005-04-23,274
2005-04-30,251
2005-05-07,322
2005-05-14,416
2005-05-21,281
2005-05-28,394
2005-06-04,319
2005-06-11,358
2005-06-18,271
2005-06-25,284
2005-07-02,244
2005-07-09,347
2005-07-16,283
2005-07-23,230
2005-07-30,188
2005-08-06,220
2005-08-13,221
2005-08-20,231
2005-08-27,255
2005-09-03,231
2005-09-10,237
2005-09-17,242
2005-09-24,237
2005-10-01,216
2005-10-08,411
2005-10-15,234
2005-10-22,322
2005-10-29,332
2005-11-05,380
2005-11-12,355
2005-11-19,579
2005-11-26,351
2005-12-03,1114
2005-12-10,1102
2005-12-17,602
2005-12-24,644
2005-12-31,514
2006-01-07,808
2006-01-14,537
2006-01-21,395
2006-01-28,366
2006-02-04,423
2006-02-11,340
2006-02-18,397
2006-02-25,290
2006-03-04,311
2006-03-11,312
2006-03-18,316
2006-03-25,286
2006-04-01,277
2006-04-08,395
2006-04-15,215
2006-04-22,251
2006-04-29,243
2006-05-06,257
2006-05-13,258
2006-05-20,331
2006-05-27,408
2006-06-03,291
2006-06-10,335
2006-06-17,265
2006-06-24,240
2006-07-01,244
2006-07-08,336
2006-07-15,270
2006-07-22,252
2006-07-29,239
2006-08-05,242
2006-08-12,231
2006-08-19,220
2006-08-26,232
2006-09-02,246
2006-09-09,209
2006-09-16,202
2006-09-23,233
2006-09-30,237
2006-10-07,320
2006-10-14,222
2006-10-21,319
2006-10-28,291
2006-11-04,385
2006-11-11,361
2006-11-18,548
2006-11-25,342
2006-12-02,794
2006-12-09,703
2006-12-16,514
2006-12-23,695
2006-12-30,502
2007-01-06,538
2007-01-13,758
2007-01-20,489
2007-01-27,430
2007-02-03,457
2007-02-10,394
2007-02-17,356
2007-02-24,296
2007-03-03,298
2007-03-10,326
2007-03-17,273
2007-03-24,229
2007-03-31,249
2007-04-07,339
2007-04-14,326
2007-04-21,268
2007-04-28,222
2007-05-05,203
2007-05-12,214
2007-05-19,304
2007-05-26,409
2007-06-02,373
2007-06-09,329
2007-06-16,355
2007-06-23,399
2007-06-30,441
2007-07-07,365
2007-07-14,282
2007-07-21,215
2007-07-28,223
2007-08-04,199
2007-08-11,169
2007-08-18,187
2007-08-25,210
2007-09-01,240
2007-09-08,155
2007-09-15,174
2007-09-22,175
2007-09-29,193
2007-10-06,217
2007-10-13,231
2007-10-20,375
2007-10-27,330
2007-11-03,279
2007-11-10,348
2007-11-17,399
2007-11-24,343
2007-12-01,704
2007-12-08,777
2007-12-15,638
2007-12-22,562
2007-12-29,536
2008-01-05,506
2008-01-12,698
2008-01-19,445
2008-01-26,386
2008-02-02,343
2008-02-09,357
2008-02-16,305
2008-02-23,277
2008-03-01,269
2008-03-08,294
2008-03-15,248
2008-03-22,223
2008-03-29,223
2008-04-05,233
2008-04-12,324
2008-04-19,351
2008-04-26,223
2008-05-03,170
2008-05-10,207
2008-05-17,272
2008-05-24,371
2008-05-31,283
2008-06-07,374
2008-06-14,263
2008-06-21,261
2008-06-28,225
2008-07-05,208
2008-07-12,354
2008-07-19,282
2008-07-26,227
2008-08-02,263
2008-08-09,257
2008-08-16,229
2008-08-23,250
2008-08-30,219
2008-09-06,242
2008-09-13,204
2008-09-20,220
2008-09-27,265
2008-10-04,279
2008-10-11,420
2008-10-18,387
2008-10-25,459
2008-11-01,406
2008-11-08,482
2008-11-15,727
2008-11-22,830
2008-11-29,716
2008-12-06,1081
2008-12-13,929
2008-12-20,1226
2008-12-27,810
2009-01-03,952
2009-01-10,1153
2009-01-17,1073
2009-01-24,739
2009-01-31,793
2009-02-07,717
2009-02-14,739
2009-02-21,656
2009-02-28,687
2009-03-07,717
2009-03-14,783
2009-03-21,673
2009-03-28,689
2009-04-04,678
2009-04-11,730
2009-04-18,795
2009-04-25,545
2009-05-02,486
2009-05-09,516
2009-05-16,548
2009-05-23,543
2009-05-30,597
2009-06-06,633
2009-06-13,535
2009-06-20,481
2009-06-27,431
2009-07-04,453
2009-07-11,638
2009-07-18,520
2009-07-25,419
2009-08-01,403
2009-08-08,499
2009-08-15,529
2009-08-22,450
2009-08-29,476
2009-09-05,508
2009-09-12,390
2009-09-19,469
2009-09-26,440
2009-10-03,508
2009-10-10,610
2009-10-17,572
2009-10-24,663
2009-10-31,622
2009-11-07,668
2009-11-14,550
2009-11-21,792
2009-11-28,726
2009-12-05,1140
2009-12-12,1382
2009-12-19,1210
2009-12-26,741
2010-01-02,786
2010-01-09,1270
2010-01-16,805
2010-01-23,639
2010-01-30,592
2010-02-06,602
2010-02-13,530
2010-02-20,469
2010-02-27,555
2010-03-06,518
2010-03-13,536
2010-03-20,440
2010-03-27,465
2010-04-03,391
2010-04-10,471
2010-04-17,363
2010-04-24,381
2010-05-01,356
2010-05-08,385
2010-05-15,564
2010-05-22,459
2010-05-29,509
2010-06-05,415
2010-06-12,439
2010-06-19,394
2010-06-26,362
2010-07-03,383
2010-07-10,464
2010-07-17,397
2010-07-24,366
2010-07-31,351
2010-08-07,369
2010-08-14,360
2010-08-21,353
2010-08-28,308
2010-09-04,352
2010-09-11,342
2010-09-18,322
2010-09-25,345
2010-10-02,323
2010-10-09,453
2010-10-16,360
2010-10-23,440
2010-10-30,530
2010-11-06,520
2010-11-13,514
2010-11-20,705
2010-11-27,881
2010-12-04,1280
2010-12-11,910
2010-12-18,788
2010-12-25,711
2011-01-01,632
2011-01-08,1038
2011-01-15,863
2011-01-22,650
2011-01-29,517
2011-02-05,487
2011-02-12,457
2011-02-19,385
2011-02-26,366
2011-03-05,407
2011-03-12,425
2011-03-19,320
2011-03-26,333
2011-04-02,390
2011-04-09,421
2011-04-16,331
2011-04-23,287
2011-04-30,316
2011-05-07,342
2011-05-14,388
2011-05-21,449
2011-05-28,411
2011-06-04,329
2011-06-11,433
2011-06-18,334
2011-06-25,312
2011-07-02,305
2011-07-09,330
2011-07-16,297
2011-07-23,300
2011-07-30,271
2011-08-06,271
2011-08-13,256
2011-08-20,290
2011-08-27,296
2011-09-03,303
2011-09-10,322
2011-09-17,302
2011-09-24,297
2011-10-01,291
2011-10-08,411
2011-10-15,344
2011-10-22,347
2011-10-29,372
2011-11-05,512
2011-11-12,426
2011-11-19,624
2011-11-26,605
2011-12-03,825
2011-12-10,923
2011-12-17,741
2011-12-24,671
2011-12-31,521
2012-01-07,768
2012-01-14,626
2012-01-21,556
2012-01-28,460
2012-02-04,400
2012-02-11,365
2012-02-18,351
2012-02-25,329
2012-03-03,354
2012-03-10,373
2012-03-17,283
2012-03-24,302
2012-03-31,265
2012-04-07,278
2012-04-14,303
2012-04-21,267
2012-04-28,248
2012-05-05,274
2012-05-12,356
2012-05-19,366
2012-05-26,370
2012-06-02,322
2012-06-09,348
2012-06-16,310
2012-06-23,290
2012-06-30,288
2012-07-07,319
2012-07-14,277
2012-07-21,287
2012-07-28,279
2012-08-04,289
2012-08-11,303
2012-08-18,265
2012-08-25,266
2012-09-01,253
2012-09-08,243
2012-09-15,287
2012-09-22,300
2012-09-29,264
2012-10-06,316
2012-10-13,328
2012-10-20,323
2012-10-27,349
2012-11-03,434
2012-11-10,427
2012-11-17,484
2012-11-24,402
2012-12-01,748
2012-12-08,650
2012-12-15,829
2012-12-22,643
2012-12-29,544
2013-01-05,635
2013-01-12,759
2013-01-19,563
2013-01-26,496
2013-02-02,449
2013-02-09,372
2013-02-16,319
2013-02-23,300
2013-03-02,314
2013-03-09,331
2013-03-16,294
2013-03-23,281
2013-03-30,232
2013-04-06,272
2013-04-13,306
2013-04-20,334
2013-04-27,281
2013-05-04,326
2013-05-11,282
2013-05-18,252
2013-05-25,383
2013-06-01,349
2013-06-08,326
2013-06-15,260
2013-06-22,231
2013-06-29,268
2013-07-06,211
2013-07-13,280
2013-07-20,223
2013-07-27,338
2013-08-03,259
2013-08-10,239
2013-08-17,225
2013-08-24,237
2013-08-31,225
2013-09-07,204
2013-09-14,234
2013-09-21,211
2013-09-28,234
2013-10-05,276
2013-10-12,345
2013-10-19,321
2013-10-26,364
2013-11-02,323
2013-11-09,394
2013-11-16,356
2013-11-23,498
2013-11-30,402
2013-12-07,854
2013-12-14,811
2013-12-21,613
2013-12-28,469
2014-01-04,540
2014-01-11,670
2014-01-18,458
2014-01-25,338
2014-02-01,377
2014-02-08,366
2014-02-15,286
2014-02-22,211
2014-03-01,263
2014-03-08,278
2014-03-15,293
2014-03-22,181
2014-03-29,239
2014-04-05,248
2014-04-12,260
2014-04-19,213
2014-04-26,207
2014-05-03,185
2014-05-10,268
2014-05-17,302
2014-05-24,271
2014-05-31,278
2014-06-07,292
2014-06-14,240
2014-06-21,211
2014-06-28,161
2014-07-05,193
2014-07-12,223
2014-07-19,203
2014-07-26,216
2014-08-02,182
2014-08-09,187
2014-08-16,203
2014-08-23,196
2014-08-30,186
2014-09-06,209
2014-09-13,201
2014-09-20,191
2014-09-27,179
2014-10-04,210
2014-10-11,277
2014-10-18,228
2014-10-25,261
2014-11-01,296
2014-11-08,411
2014-11-15,771
2014-11-22,915
2014-11-29,402
2014-12-06,601
2014-12-13,445
2014-12-20,470
2014-12-27,368
2015-01-03,508
2015-01-10,723
2015-01-17,447
2015-01-24,327
2015-01-31,299
2015-02-07,311
2015-02-14,271
2015-02-21,240
2015-02-28,281
2015-03-07,257
2015-03-14,278
2015-03-21,247
2015-03-28,198
2015-04-04,170
2015-04-11,239
2015-04-18,176
2015-04-25,220
2015-05-02,172
2015-05-09,191
2015-05-16,292
2015-05-23,264
2015-05-30,273
2015-06-06,277
2015-06-13,242
2015-06-20,222
2015-06-27,226
2015-07-04,163
2015-07-11,232
2015-07-18,193
2015-07-25,181
2015-08-01,184
2015-08-08,176
2015-08-15,170
2015-08-22,157
2015-08-29,186
2015-09-05,178
2015-09-12,163
2015-09-19,166
2015-09-26,174
2015-10-03,192
2015-10-10,234
2015-10-17,208
2015-10-24,244
2015-10-31,255
2015-11-07,414
2015-11-14,364
2015-11-21,561
2015-11-28,421
2015-12-05,725
2015-12-12,483
2015-12-19,571
2015-12-26,415
2016-01-02,394
2016-01-09,677
2016-01-16,437
2016-01-23,326
2016-01-30,300
2016-02-06,314
2016-02-13,241
2016-02-20,196
2016-02-27,216
2016-03-05,223
2016-03-12,232
2016-03-19,197
2016-03-26,166
2016-04-02,186
2016-04-09,230
2016-04-16,208
2016-04-23,183
2016-04-30,202
2016-05-07,204
2016-05-14,243
2016-05-21,261
2016-05-28,284
2016-06-04,244
2016-06-11,278
2016-06-18,218
2016-06-25,220
2016-07-02,202
2016-07-09,470
2016-07-16,249
2016-07-23,211
2016-07-30,205
2016-08-06,212
2016-08-13,204
2016-08-20,179
2016-08-27,163
2016-09-03,188
2016-09-10,188
2016-09-17,192
2016-09-24,143
2016-10-01,239
2016-10-08,333
2016-10-15,225
2016-10-22,247
2016-10-29,303
2016-11-05,343
2016-11-12,287
2016-11-19,462
2016-11-26,489
2016-12-03,747
2016-12-10,696
2016-12-17,643
2016-12-24,397
2016-12-31,365
2017-01-07,573
2017-01-14,450
2017-01-21,287
2017-01-28,327
2017-02-04,333
2017-02-11,358
2017-02-18,236
2017-02-25,177
2017-03-04,228
2017-03-11,210
2017-03-18,193
2017-03-25,180
2017-04-01,165
2017-04-08,197
2017-04-15,155
2017-04-22,179
2017-04-29,137
2017-05-06,167
2017-05-13,212
2017-05-20,187
2017-05-27,226
2017-06-03,204
2017-06-10,214
2017-06-17,178
2017-06-24,167
2017-07-01,180
2017-07-08,164
2017-07-15,195
2017-07-22,169
2017-07-29,175
2017-08-05,159
2017-08-12,159
2017-08-19,149
2017-08-26,157
2017-09-02,162
2017-09-09,139
2017-09-16,176
2017-09-23,156
2017-09-30,185
2017-10-07,217
2017-10-14,165
2017-10-21,231
2017-10-28,248
2017-11-04,305
2017-11-11,328
2017-11-18,397
2017-11-25,309
2017-12-02,516
2017-12-09,657
2017-12-16,434
2017-12-23,451
2017-12-30,480
2018-01-06,479
2018-01-13,484
2018-01-20,314
2018-01-27,264
2018-02-03,217
2018-02-10,241
2018-02-17,225
2018-02-24,220
2018-03-03,200
2018-03-10,206
2018-03-17,154
2018-03-24,158
2018-03-31,138
2018-04-07,193
2018-04-14,125
2018-04-21,157
2018-04-28,147
2018-05-05,150
2018-05-12,182
2018-05-19,174
2018-05-26,180
2018-06-02,174
2018-06-09,225
2018-06-16,176
2018-06-23,167
2018-06-30,158
2018-07-07,180
2018-07-14,163
2018-07-21,171
2018-07-28,134
2018-08-04,145
2018-08-11,120
2018-08-18,154
2018-08-25,131
2018-09-01,134
2018-09-08,135
2018-09-15,140
2018-09-22,136
2018-09-29,144
2018-10-06,159
2018-10-13,228
2018-10-20,202
2018-10-27,191
2018-11-03,230
2018-11-10,391
2018-11-17,322
2018-11-24,291
2018-12-01,529
2018-12-08,662
2018-12-15,433
2018-12-22,430
2018-12-29,431
2019-01-05,354
2019-01-12,548
2019-01-19,331
2019-01-26,274
2019-02-02,318
2019-02-09,334
2019-02-16,280
2019-02-23,239
2019-03-02,221
2019-03-09,214
2019-03-16,143
2019-03-23,171
2019-03-30,149
2019-04-06,143
2019-04-13,81
2019-04-20,179
2019-04-27,126
2019-05-04,167
2019-05-11,187
2019-05-18,164
2019-05-25,280
2019-06-01,205
2019-06-08,208
2019-06-15,204
2019-06-22,157
2019-06-29,180
2019-07-06,152
2019-07-13,204
2019-07-20,204
2019-07-27,150
2019-08-03,136
2019-08-10,134
2019-08-17,158
2019-08-24,144
2019-08-31,122
2019-09-07,103
2019-09-14,151
2019-09-21,124
2019-09-28,147
2019-10-05,185
2019-10-12,156
2019-10-19,174
2019-10-26,206
2019-11-02,273
2019-11-09,318
2019-11-16,406
2019-11-23,359
2019-11-30,328
2019-12-07,630
2019-12-14,529
2019-12-21,489
2019-12-28,241
